recession_start,recession_end
2020-01-01,2020-05-01
2015-03-01,2017-03-01
2012-04-01,2014-02-01
2007-11-01,2009-05-01
2000-05-01,2003-02-01
1994-09-01,1995-12-01
1989-06-01,1991-09-01
1984-07-01,1987-03-01
1978-11-01,1982-11-01
1973-05-01,1975-04-01
1969-03-01,1970-11-01
1966-03-01,1967-09-01
1962-03-01,1963-03-01
1959-06-01,1961-02-01
1955-09-01,1958-04-01
1951-08-01,1954-06-01
1947-02-02,1949-10-01
