recession_start,recession_end
2018-06-01,2020-06-01
2014-09-01,2017-06-01
2011-04-01,2013-02-01
2008-05-01,2009-05-01
2001-01-01,2003-06-01
1998-06-01,1999-04-01
1990-05-01,1993-02-01
1985-06-01,1987-04-01
1981-08-01,1983-10-01
1974-04-01,1976-02-01
1967-02-01,1969-03-01
1964-06-01,1966-02-01
1961-12-01,1963-03-01
