recession_start,recession_end
2021-01-01,2020-03-01
2011-08-01,2009-03-01
2007-12-01,2005-04-01
2004-02-01,2002-02-01
1994-09-01,1990-06-01
1988-09-01,1986-05-01
1985-04-01,1982-12-01
1980-02-01,1979-02-01
