recession_start,recession_end
2017-12-01,2020-06-01
2011-06-01,2013-04-01
2008-03-01,2009-07-01
2001-03-01,2003-07-01
1998-02-01,1999-02-01
1995-04-01,1997-02-01
1991-03-01,1993-09-01
1980-02-01,1983-01-01
1977-01-01,1977-10-01
1974-02-01,1975-07-01
1970-09-01,1972-04-01
1963-12-01,1968-05-01
