recession_start,recession_end
2017-11-01,2020-06-01
2011-05-01,2013-04-01
2008-02-01,2009-07-01
2001-02-01,2003-07-01
1998-01-01,1999-02-01
1995-03-01,1997-02-01
1991-02-01,1993-09-01
1980-01-01,1983-01-01
1976-12-01,1977-10-01
1974-01-01,1975-07-01
1970-08-01,1972-04-01
1963-11-01,1968-05-01
