recession_start,recession_end
2021-02-01,2020-03-01
2011-09-01,2009-03-01
2008-01-01,2005-04-01
2004-03-01,2002-02-01
1994-10-01,1990-06-01
1988-10-01,1986-05-01
1985-05-01,1982-12-01
1980-03-01,1979-02-01
