recession_start,recession_end
2018-05-01,2020-05-01
2014-08-01,2017-05-01
2011-03-01,2013-01-01
2008-04-01,2009-04-01
2000-12-01,2003-05-01
1998-05-01,1999-03-01
1990-04-01,1993-01-01
1985-05-01,1987-03-01
1981-07-01,1983-09-01
1974-03-01,1976-01-01
1967-01-01,1969-02-01
1964-05-01,1966-01-01
1961-11-01,1963-02-01
