recession_start,recession_end
2020-01-01,2020-07-01
2007-10-01,2009-07-01
2001-01-01,2001-10-01
1989-10-01,1991-04-01
1981-04-01,1982-07-01
1979-04-01,1980-07-01
1973-10-01,1975-04-01
1969-04-01,1971-01-01
