Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
07/03,3.664607774878,5.23343695304541,3.36709675933058,4.43364890038986
07/05,4.44242126274921,5.23343695304541,3.88262193184301,4.43364890038986
07/06,4.45170513331685,5.23343695304541,3.88907521706778,4.43364890038986
07/07,4.42389691678209,5.23343695304541,3.86974512362024,4.43364890038986
07/10,4.56651112309909,5.23343695304541,3.96886657404627,4.43364890038986
07/11,4.57102611887039,5.23343695304541,3.97200391968773,4.43364890038986
07/12,3.88452712286926,4.2627611501421,3.41865992577084,3.86751966119638
07/13,3.92621824224113,4.2627611501421,3.44757384428438,3.86751966119638
07/14,3.94854299246743,4.2627611501421,3.46305553567869,3.86751966119638
07/17,3.84879395328683,4.2627611501421,3.3938758248224,3.86751966119638
07/18,3.73313504301858,4.2627611501421,3.31364320585077,3.86751966119638
07/19,3.8556889539076,4.2627611501421,3.3986570235766,3.86751966119638
07/20,3.8620809717516,4.2627611501421,3.403090420308,3.86751966119638
07/21,3.80092585246936,4.2627611501421,3.36067160909359,3.86751966119638
07/24,3.92088147640248,4.2627611501421,3.44387044418406,3.86751966119638
07/25,4.18592713636239,4.2627611501421,3.62761203668334,3.86751966119638
07/26,4.22193009184686,4.2627611501421,3.65256252031705,3.86751966119638
07/27,4.13557039177501,4.2627611501421,3.59271078731489,3.86751966119638
07/28,4.23548760354975,4.2627611501421,3.59827865094029,3.66296115164433
07/31,4.19471465918397,4.2627611501421,3.56973569740333,3.66296115164433
08/01,4.5052491712535,4.2627611501421,3.7870314506173,3.66296115164433
08/02,4.55736075518518,4.2627611501421,3.80665894706926,3.66296115164433
08/03,4.38748500854587,4.2627611501421,3.6878785013736,3.66296115164433
08/04,4.53190922706548,4.2627611501421,3.78883203791271,3.66296115164433
08/07,4.62620012745292,4.2627611501421,3.85473813457184,3.66296115164433
08/08,4.96501823081394,4.2627611501421,4.0916271456712,3.66296115164433
08/09,4.95572270875517,4.2627611501421,4.08514174011749,3.66296115164433
08/10,3.92332372256354,3.19888688717349,3.34442320878126,3.04457303663566
08/11,3.90891286815567,3.19888688717349,3.33436756917012,3.04457303663566
08/14,3.92739395837345,3.19888688717349,3.34726329091688,3.04457303663566
08/15,3.90942728203334,3.19888688717349,3.3347616864408,3.04457303663566
08/16,3.83946840627147,3.19888688717349,3.2859430353896,3.04457303663566
08/17,3.77516074780018,3.19888688717349,3.24106141961498,3.04457303663566
08/18,3.81271637439184,3.19888688717349,3.26727300700387,3.04457303663566
08/21,3.84584070901084,3.19888688717349,3.2903900555906,3.04457303663566
08/22,3.86599389681619,3.19888688717349,3.30449197503573,3.04457303663566
08/23,3.84325345402172,3.19888688717349,3.28862316231491,3.04457303663566
08/24,3.81222656393447,3.19888688717349,3.26697061833034,3.04457303663566
08/25,3.81484369555918,3.19888688717349,3.26879707572751,3.04457303663566
08/28,3.8189849327904,3.19888688717349,3.27168716279791,3.04457303663566
08/29,3.84841823787607,3.19888688717349,3.29220000676185,3.04457303663566
08/30,3.8804509014075,3.19888688717349,3.31455325539416,3.04457303663566
08/31,3.90549366747512,3.19888688717349,3.65628696404796,3.23362043964477
09/01,3.96321058773486,3.19888688717349,3.69681225588718,3.23362043964477
09/05,4.08979736458583,3.19888688717349,3.78567625998751,3.23362043964477
09/06,3.99097981106766,3.19888688717349,3.71630832598944,3.23362043964477
09/07,3.99097981106766,3.19888688717349,3.71630832598944,3.23362043964477
09/08,3.99097981106766,3.19888688717349,3.71630832598944,3.23362043964477
