Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.66423501111937,0.559291198713761,0.664712124437668,-1.16535845255395,-1.25443150691391,-0.698288847951535
01/15/1971,0.700130487966774,0.603243845936994,0.697455132026188,-1.16750178726696,-1.27297169340532,-0.705384807544145
01/22/1971,0.742164636929735,0.669147737161982,0.736860412155827,-1.17046217517348,-1.29288775456357,-0.714136719887484
01/29/1971,0.787671034518248,0.750249438693015,0.780482508642008,-1.17461250054751,-1.31409227590535,-0.724743309863025
02/05/1971,0.834090805769858,0.8383065233638,0.826021314227622,-1.18041380656183,-1.33640477693879,-0.737354475210735
02/12/1971,0.877913907585757,0.921677861767889,0.870321214148351,-1.18843249106327,-1.35954508373418,-0.752049423371599
02/19/1971,0.917047235649279,0.990333434268439,0.91168171650853,-1.19929012219797,-1.38317424775754,-0.768834032402374
02/26/1971,0.951682450289992,1.03898431103454,0.950631366106767,-1.2136197160265,-1.40686220431377,-0.787639536237584
03/05/1971,0.98438106906189,1.06770496696981,0.990036046044263,-1.23203540977719,-1.43015611410081,-0.808317530556283
03/12/1971,1.01813177717484,1.07985586559357,1.03313980591664,-1.25514270400043,-1.45255963575985,-0.830637148244277
03/19/1971,1.05653113021591,1.08503314787387,1.08369322035096,-1.28347638850933,-1.4735975194776,-0.85427170031213
03/26/1971,1.10389131787694,1.09995014758481,1.14586074394746,-1.31738392098396,-1.49275127760148,-0.878790311743537
04/02/1971,1.16223042570893,1.14106798814266,1.22136833405047,-1.3569396947521,-1.50954666208187,-0.90367571953315
04/09/1971,1.23189929434684,1.22333271047071,1.30989450112276,-1.40197975778716,-1.52351467089656,-0.928360804292106
04/16/1971,1.30955662458239,1.35160661703075,1.40731750912469,-1.45176720316643,-1.53427812979088,-0.952185297191517
04/23/1971,1.38840431894273,1.517795016878,1.50596428511122,-1.50516601958544,-1.54160120536139,-0.974580530016231
04/30/1971,1.45929295784454,1.7009255579638,1.59583959711815,-1.56067535860125,-1.54539206494069,-0.99502208429878
05/07/1971,1.51123158260929,1.86947102493284,1.66540314712401,-1.61666253596754,-1.54571894784321,-1.01307684296567
05/14/1971,1.53177286073776,1.9844456887295,1.70197163966272,-1.67144968965417,-1.54281067769347,-1.02842345760073
05/21/1971,1.5135928119504,2.015472040899,1.69815493653332,-1.72347558551346,-1.53693396480583,-1.04084514334538
05/28/1971,1.45538271245242,1.94682954699982,1.65262324849222,-1.77127391621582,-1.52837432484614,-1.05021629151744
06/04/1971,1.36168738597273,1.77574570995803,1.57003431670036,-1.81358013070442,-1.51746245032056,-1.05650074906968
06/11/1971,1.24152734402855,1.5129944375782,1.45942595815775,-1.84922988784641,-1.5044948177181,-1.05974829732459
06/18/1971,1.11357466330064,1.1941317330773,1.33915928145387,-1.87705831377062,-1.48980424861862,-1.0600979517898
06/25/1971,0.99784715075499,0.863960903139376,1.22891805777626,-1.89607742676919,-1.47377565907526,-1.05777826579987
07/02/1971,0.91481903763542,0.57510250133364,1.14893109741994,-1.90560353350054,-1.45687160128215,-1.05308439407658
07/09/1971,0.884114125424101,0.385663555954084,1.11835684203925,-1.90511352488932,-1.43950905710094,-1.04633361068713
07/16/1971,0.919586448435944,0.344251715146239,1.15072093709631,-1.89435565791728,-1.42217074830355,-1.03789468482347
07/23/1971,1.02650854065759,0.478313845359716,1.25107389746493,-1.87345283239136,-1.40525976903641,-1.02809928264627
07/30/1971,1.1995974023512,0.785386601843531,1.41401099828966,-1.84275501493536,-1.38912902037425,-1.01724717999744
08/06/1971,1.42147024055646,1.22588714930205,1.62239546700811,-1.80299141656978,-1.37412225178483,-1.00560911026466
08/13/1971,1.66604587729759,1.73255691199318,1.85072429540763,-1.7552949575054,-1.36053590266053,-0.993418596148713
08/20/1971,1.9045070797196,2.22729595352162,2.07100677436263,-1.70117748939498,-1.34863232092025,-0.980872763477964
08/27/1971,2.10577311098805,2.62966495889584,2.25348871198135,-1.64262331389274,-1.33868925590003,-0.968136288251141
09/03/1971,2.25022259676877,2.89157379122201,2.37941840630123,-1.58161084288554,-1.3308759226218,-0.955341880188871
09/10/1971,2.32318694091452,2.985151096491,2.43510628214791,-1.52025516333819,-1.32539812557812,-0.942592836804
09/17/1971,2.32488325041145,2.92088033564986,2.42132917493203,-1.46052154456963,-1.32241327286081,-0.929969699953986
09/24/1971,2.26105194315498,2.72652087589431,2.34422650457055,-1.4041900485416,-1.32207421528492,-0.917534800649181
10/01/1971,2.14666728964537,2.44631792564592,2.21893207966585,-1.35278227167313,-1.32453747172752,-0.905339854047554
10/08/1971,1.99925112484566,2.1279654533858,2.06309675357795,-1.30763824486188,-1.32989158473409,-0.893429537216982
10/15/1971,1.84027692486338,1.82157972161197,1.8982172844531,-1.26985027415931,-1.33816822833861,-0.881850402687757
10/22/1971,1.68922576477269,1.5677206041388,1.74378857172415,-1.24031708293116,-1.34925236732659,-0.870618655252446
